date,currency,type,rate
2016-04-06,EUR,Black Market,178.5
2016-04-06,EUR,Official,122.9625
2016-04-07,EUR,Black Market,178.5
2016-04-07,EUR,Official,123.2441
2016-04-08,EUR,Black Market,178.5
2016-04-08,EUR,Official,123.041
2016-04-09,EUR,Black Market,178.5
2016-04-10,EUR,Black Market,178.5
2016-04-11,EUR,Black Market,178.5
2016-04-11,EUR,Official,123.1098
2016-04-12,EUR,Black Market,178.5
2016-04-12,EUR,Official,123.4994
2016-04-13,EUR,Black Market,178.5
2016-04-13,EUR,Official,123.2274
2016-04-14,EUR,Black Market,178.5
2016-04-14,EUR,Official,122.6795
2016-04-15,EUR,Black Market,178.5
2016-04-15,EUR,Official,122.7515
2016-04-16,EUR,Black Market,178.5
2016-04-17,EUR,Black Market,178.5
2016-04-18,EUR,Black Market,178.5
2016-04-18,EUR,Official,122.9414
2016-04-19,EUR,Black Market,178.5
2016-04-19,EUR,Official,123.2082
2016-04-20,EUR,Black Market,178.5
2016-04-20,EUR,Official,123.6941
2016-04-21,EUR,Black Market,178.5
2016-04-21,EUR,Official,123.3777
2016-04-22,EUR,Black Market,178.5
2016-04-22,EUR,Official,123.3455
2016-04-23,EUR,Black Market,178.5
2016-04-24,EUR,Black Market,178.5
2016-04-25,EUR,Black Market,178.5
2016-04-25,EUR,Official,123.193
2016-04-26,EUR,Black Market,178.5
2016-04-26,EUR,Official,123.3232
2016-04-27,EUR,Black Market,178.5
2016-04-27,EUR,Official,123.7078
2016-04-28,EUR,Black Market,179.0
2016-04-28,EUR,Official,123.8457
2016-04-29,EUR,Black Market,180.0
2016-04-29,EUR,Official,124.1666
2016-04-30,EUR,Black Market,181.0
2016-05-01,EUR,Black Market,181.5
2016-05-02,EUR,Black Market,181.5
2016-05-02,EUR,Official,125.0307
2016-05-03,EUR,Black Market,181.5
2016-05-03,EUR,Official,125.698
2016-05-04,EUR,Black Market,181.5
2016-05-04,EUR,Official,125.1174
2016-05-05,EUR,Black Market,181.5
2016-05-05,EUR,Official,125.006
2016-05-06,EUR,Black Market,181.5
2016-05-06,EUR,Official,124.786
2016-05-07,EUR,Black Market,181.5
2016-05-08,EUR,Black Market,181.5
2016-05-09,EUR,Black Market,181.5
2016-05-09,EUR,Official,124.6042
2016-05-10,EUR,Black Market,181.5
2016-05-10,EUR,Official,124.6317
2016-05-11,EUR,Black Market,181.5
2016-05-11,EUR,Official,124.6491
2016-05-12,EUR,Black Market,181.5
2016-05-12,EUR,Official,124.7825
2016-05-13,EUR,Black Market,181.5
2016-05-13,EUR,Official,124.3065
2016-05-14,EUR,Black Market,181.5
2016-05-15,EUR,Black Market,181.5
2016-05-16,EUR,Black Market,181.5
2016-05-16,EUR,Official,124.144
2016-05-17,EUR,Black Market,181.5
2016-05-17,EUR,Official,124.2907
2016-05-18,EUR,Black Market,181.5
2016-05-18,EUR,Official,123.9825
2016-05-19,EUR,Black Market,181.5
2016-05-19,EUR,Official,123.6361
2016-05-20,EUR,Black Market,181.5
2016-05-20,EUR,Official,123.6087
2016-05-21,EUR,Black Market,181.5
2016-05-22,EUR,Black Market,181.5
2016-05-23,EUR,Black Market,181.5
2016-05-23,EUR,Official,123.6252
2016-05-24,EUR,Black Market,181.5
2016-05-24,EUR,Official,123.4539
2016-05-25,EUR,Black Market,181.5
2016-05-25,EUR,Official,123.1656
2016-05-26,EUR,Black Market,181.5
2016-05-26,EUR,Official,123.3213
2016-05-27,EUR,Black Market,181.5
2016-05-27,EUR,Official,123.3655
2016-05-28,EUR,Black Market,181.5
2016-05-29,EUR,Black Market,181.5
2016-05-30,EUR,Black Market,181.5
2016-05-30,EUR,Official,123.0485
2016-05-31,EUR,Black Market,181.5
2016-05-31,EUR,Official,123.1011
2016-06-01,EUR,Black Market,181.5
2016-06-01,EUR,Official,123.2625
2016-06-02,EUR,Black Market,181.5
2016-06-02,EUR,Official,123.6612
2016-06-03,EUR,Black Market,181.5
2016-06-03,EUR,Official,123.3342
2016-06-04,EUR,Black Market,181.5
2016-06-05,EUR,Black Market,181.5
2016-06-06,EUR,Black Market,181.5
2016-06-06,EUR,Official,124.6414
2016-06-07,EUR,Black Market,181.5
2016-06-07,EUR,Official,124.7167
2016-06-08,EUR,Black Market,181.5
2016-06-08,EUR,Official,124.7
2016-06-09,EUR,Black Market,181.5
2016-06-09,EUR,Official,124.5803
2016-06-10,EUR,Black Market,181.5
2016-06-10,EUR,Official,124.3521
2016-06-11,EUR,Black Market,181.5
2016-06-12,EUR,Black Market,181.5
2016-06-13,EUR,Black Market,181.5
2016-06-13,EUR,Official,124.0518
2016-06-14,EUR,Black Market,181.5
2016-06-14,EUR,Official,123.8602
2016-06-15,EUR,Black Market,181.5
2016-06-15,EUR,Official,123.6948
2016-06-16,EUR,Black Market,181.5
2016-06-16,EUR,Official,124.0635
2016-06-17,EUR,Black Market,181.5
2016-06-17,EUR,Official,123.9316
2016-06-18,EUR,Black Market,181.5
2016-06-19,EUR,Black Market,181.5
2016-06-20,EUR,Black Market,181.5
2016-06-20,EUR,Official,124.516
2016-06-21,EUR,Black Market,181.5
2016-06-21,EUR,Official,124.401
2016-06-22,EUR,Black Market,181.5
2016-06-22,EUR,Official,124.0188
2016-06-23,EUR,Black Market,181.5
2016-06-23,EUR,Official,124.4009
2016-06-24,EUR,Black Market,181.5
2016-06-24,EUR,Official,123.2016
2016-06-25,EUR,Black Market,181.5
2016-06-26,EUR,Black Market,181.5
2016-06-27,EUR,Black Market,181.5
2016-06-27,EUR,Official,122.2904
2016-06-28,EUR,Black Market,181.5
2016-06-28,EUR,Official,122.415
2016-06-29,EUR,Black Market,181.5
2016-06-29,EUR,Official,122.3535
2016-06-30,EUR,Black Market,181.5
2016-06-30,EUR,Official,122.75
2016-07-01,EUR,Black Market,181.5
2016-07-01,EUR,Official,122.6665
2016-07-02,EUR,Black Market,181.5
2016-07-03,EUR,Black Market,181.5
2016-07-04,EUR,Black Market,181.5
2016-07-04,EUR,Official,122.6438
2016-07-05,EUR,Black Market,181.5
2016-07-05,EUR,Official,122.9888
2016-07-06,EUR,Black Market,181.5
2016-07-06,EUR,Official,122.3353
2016-07-07,EUR,Black Market,181.5
2016-07-07,EUR,Official,122.453
2016-07-08,EUR,Black Market,181.5
2016-07-08,EUR,Official,122.4918
2016-07-09,EUR,Black Market,181.5
2016-07-10,EUR,Black Market,181.5
2016-07-11,EUR,Black Market,181.5
2016-07-11,EUR,Official,122.1873
2016-07-12,EUR,Black Market,181.5
2016-07-12,EUR,Official,122.8316
2016-07-13,EUR,Black Market,181.5
2016-07-13,EUR,Official,122.3228
2016-07-14,EUR,Black Market,181.5
2016-07-14,EUR,Official,122.6536
2016-07-15,EUR,Black Market,181.5
2016-07-15,EUR,Official,122.9603
2016-07-16,EUR,Black Market,181.5
2016-07-17,EUR,Black Market,181.5
2016-07-18,EUR,Black Market,181.5
2016-07-18,EUR,Official,122.3622
2016-07-19,EUR,Black Market,181.5
2016-07-19,EUR,Official,122.451
2016-07-20,EUR,Black Market,181.5
2016-07-20,EUR,Official,121.8764
2016-07-21,EUR,Black Market,181.5
2016-07-21,EUR,Official,122.1098
2016-07-22,EUR,Black Market,181.5
2016-07-22,EUR,Official,122.0877
2016-07-23,EUR,Black Market,181.5
2016-07-24,EUR,Black Market,181.5
2016-07-25,EUR,Black Market,181.5
2016-07-25,EUR,Official,121.6695
2016-07-26,EUR,Black Market,181.5
2016-07-26,EUR,Official,121.9403
2016-07-27,EUR,Black Market,181.5
2016-07-27,EUR,Official,121.9123
2016-07-28,EUR,Black Market,181.5
2016-07-28,EUR,Official,122.6476
2016-07-29,EUR,Black Market,181.5
2016-07-29,EUR,Official,122.5083
2016-07-30,EUR,Black Market,181.5
2016-07-31,EUR,Black Market,182.0
2016-08-01,EUR,Black Market,182.0
2016-08-01,EUR,Official,122.787
2016-08-02,EUR,Black Market,182.0
2016-08-02,EUR,Official,122.9469
2016-08-03,EUR,Black Market,182.0
2016-08-03,EUR,Official,122.9691
2016-08-04,EUR,Black Market,182.0
2016-08-04,EUR,Official,122.5109
2016-08-05,EUR,Black Market,182.0
2016-08-05,EUR,Official,122.5497
2016-08-06,EUR,Black Market,182.0
2016-08-07,EUR,Black Market,182.0
2016-08-08,EUR,Black Market,182.0
2016-08-08,EUR,Official,122.2429
2016-08-09,EUR,Black Market,182.0
2016-08-09,EUR,Official,122.1696
2016-08-10,EUR,Black Market,182.0
2016-08-10,EUR,Official,122.4376
2016-08-11,EUR,Black Market,182.0
2016-08-11,EUR,Official,122.4436
2016-08-12,EUR,Black Market,182.0
2016-08-12,EUR,Official,122.5207
2016-08-13,EUR,Black Market,182.0
2016-08-14,EUR,Black Market,182.0
2016-08-15,EUR,Black Market,182.0
2016-08-15,EUR,Official,122.6201
2016-08-16,EUR,Black Market,182.0
2016-08-16,EUR,Official,123.046
2016-08-17,EUR,Black Market,182.0
2016-08-17,EUR,Official,122.8103
2016-08-18,EUR,Black Market,182.0
2016-08-18,EUR,Official,123.1081
2016-08-19,EUR,Black Market,182.0
2016-08-19,EUR,Official,123.1619
2016-08-20,EUR,Black Market,182.0
2016-08-21,EUR,Black Market,182.0
2016-08-22,EUR,Black Market,182.0
2016-08-22,EUR,Official,122.9568
2016-08-23,EUR,Black Market,182.0
2016-08-23,EUR,Official,123.2805
2016-08-24,EUR,Black Market,182.0
2016-08-24,EUR,Official,122.9564
2016-08-25,EUR,Black Market,182.0
2016-08-25,EUR,Official,122.8967
2016-08-26,EUR,Black Market,182.0
2016-08-26,EUR,Official,123.0271
2016-08-27,EUR,Black Market,182.0
2016-08-28,EUR,Black Market,182.0
2016-08-29,EUR,Black Market,182.0
2016-08-29,EUR,Official,122.3011
2016-08-30,EUR,Black Market,182.0
2016-08-30,EUR,Official,122.2952
2016-08-31,EUR,Black Market,182.0
2016-08-31,EUR,Official,122.0467
2016-09-01,EUR,Black Market,182.0
2016-09-01,EUR,Official,122.0468
2016-09-02,EUR,Black Market,182.0
2016-09-02,EUR,Official,122.3942
2016-09-03,EUR,Black Market,182.0
2016-09-04,EUR,Black Market,182.0
2016-09-05,EUR,Black Market,182.0
2016-09-05,EUR,Official,122.3013
2016-09-06,EUR,Black Market,182.0
2016-09-06,EUR,Official,122.1974
2016-09-07,EUR,Black Market,182.0
2016-09-07,EUR,Official,122.6905
2016-09-08,EUR,Black Market,182.0
2016-09-08,EUR,Official,122.8485
2016-09-09,EUR,Black Market,182.0
2016-09-09,EUR,Official,122.8596
2016-09-10,EUR,Black Market,182.0
2016-09-11,EUR,Black Market,182.0
2016-09-12,EUR,Black Market,182.0
2016-09-12,EUR,Official,122.7892
2016-09-13,EUR,Black Market,182.0
2016-09-13,EUR,Official,122.6528
2016-09-14,EUR,Black Market,182.0
2016-09-14,EUR,Official,122.6255
2016-09-15,EUR,Black Market,182.0
2016-09-15,EUR,Official,122.6691
2016-09-16,EUR,Black Market,182.0
2016-09-16,EUR,Official,122.6703
2016-09-17,EUR,Black Market,182.0
2016-09-18,EUR,Black Market,182.0
2016-09-19,EUR,Black Market,182.0
2016-09-19,EUR,Official,122.1385
2016-09-20,EUR,Black Market,182.0
2016-09-20,EUR,Official,122.4571
2016-09-21,EUR,Black Market,182.0
2016-09-21,EUR,Official,122.1271
2016-09-22,EUR,Black Market,182.0
2016-09-22,EUR,Official,122.714
2016-09-23,EUR,Black Market,182.0
2016-09-23,EUR,Official,122.4299
2016-09-24,EUR,Black Market,182.0
2016-09-25,EUR,Black Market,182.0
2016-09-26,EUR,Black Market,182.0
2016-09-26,EUR,Official,122.7249
2016-09-27,EUR,Black Market,182.0
2016-09-27,EUR,Official,122.8013
2016-09-28,EUR,Black Market,182.0
2016-09-28,EUR,Official,122.8127
2016-09-29,EUR,Black Market,182.0
2016-09-29,EUR,Official,122.9555
2016-09-30,EUR,Black Market,182.0
2016-09-30,EUR,Official,122.73
2016-10-01,EUR,Black Market,182.0
2016-10-02,EUR,Black Market,182.0
2016-10-03,EUR,Black Market,182.0
2016-10-03,EUR,Official,123.1145
2016-10-04,EUR,Black Market,182.0
2016-10-04,EUR,Official,122.7297
2016-10-05,EUR,Black Market,182.0
2016-10-05,EUR,Official,123.0322
2016-10-06,EUR,Black Market,182.0
2016-10-06,EUR,Official,122.9386
2016-10-07,EUR,Black Market,182.0
2016-10-07,EUR,Official,122.4015
2016-10-08,EUR,Black Market,182.0
2016-10-09,EUR,Black Market,182.0
2016-10-10,EUR,Black Market,182.0
2016-10-10,EUR,Official,122.8061
2016-10-11,EUR,Black Market,182.0
2016-10-11,EUR,Official,122.3899
2016-10-12,EUR,Black Market,182.0
2016-10-12,EUR,Official,121.932
2016-10-13,EUR,Black Market,182.0
2016-10-13,EUR,Official,121.7166
2016-10-14,EUR,Black Market,182.0
2016-10-14,EUR,Official,121.7288
2016-10-15,EUR,Black Market,182.0
2016-10-16,EUR,Black Market,182.0
2016-10-17,EUR,Black Market,182.0
2016-10-17,EUR,Official,121.221
2016-10-18,EUR,Black Market,182.0
2016-10-18,EUR,Official,121.5201
2016-10-19,EUR,Black Market,182.0
2016-10-19,EUR,Official,121.3296
2016-10-20,EUR,Black Market,182.0
2016-10-20,EUR,Official,121.21
2016-10-21,EUR,Black Market,182.0
2016-10-21,EUR,Official,120.5303
2016-10-22,EUR,Black Market,182.0
2016-10-23,EUR,Black Market,182.0
2016-10-24,EUR,Black Market,182.0
2016-10-24,EUR,Official,120.2323
2016-10-25,EUR,Black Market,182.0
2016-10-25,EUR,Official,119.9841
2016-10-26,EUR,Black Market,182.0
2016-10-26,EUR,Official,120.2435
2016-10-27,EUR,Black Market,182.0
2016-10-27,EUR,Official,120.1818
2016-10-28,EUR,Black Market,182.0
2016-10-28,EUR,Official,120.1863
2016-10-29,EUR,Black Market,182.0
